Actual,Predicted
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Pos,1
Pos,1
Pos,0
Pos,0
Pos,0
Pos,1
Pos,0
Pos,1
Pos,1
Pos,1
Pos,1
Pos,1
Neg,0
Neg,1
Neg,1
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,1
Neg,0
Neg,1
Neg,1
Neg,0
Neg,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Pos,1
Pos,0
Pos,0
Pos,1
Pos,1
Pos,1
Pos,1
Pos,0
Pos,1
Pos,1
Pos,0
Pos,1
Pos,1
Pos,1
Pos,0
Neg,0
Neg,1
Neg,1
Neg,1
Neg,0
Neg,0
Neg,1
Neg,1
Neg,0
Neg,1
Neg,0
Neg,0
Pos,1
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,1
Pos,0
Pos,0
Pos,0
Pos,1
Pos,1
Pos,0
Pos,1
Pos,1
Neg,1
Neg,1
Neg,1
Neg,0
Neg,0
Neg,1
Neg,0
Neg,0
Neg,0
Neg,1
Neg,1
Neg,1
Neg,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Pos,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
Neg,0
